"Entry","Rep","predicted.value","std.error","status"
"BB Ent 3","1",4.846026866754,0.438711701519935,"Estimable"
"BB Ent 3","2",5.33276096372328,0.431918322295815,"Estimable"
"BB Ent 3","3",5.717857309355,0.437473760163407,"Estimable"
"BB Ent 3","4",6.31544507698408,0.446897777432465,"Estimable"
"BB Ent 3","5",4.32110432624991,0.642091130112476,"Estimable"
"BB Ent 8","1",5.59888366359084,0.390615478933202,"Estimable"
"BB Ent 8","2",6.08561776056012,0.392443961935962,"Estimable"
"BB Ent 8","3",6.47071410619184,0.391420912692317,"Estimable"
"BB Ent 8","4",7.06830187382092,0.393239353021877,"Estimable"
"BB Ent 8","5",5.07396112308675,0.630144671846852,"Estimable"
"BB14-1-a","1",5.49816593482117,0.416563298055252,"Estimable"
"BB14-1-a","2",5.98490003179045,0.415980693854696,"Estimable"
"BB14-1-a","3",6.36999637742217,0.414601513630281,"Estimable"
"BB14-1-a","4",6.96758414505125,0.424027720856862,"Estimable"
"BB14-1-a","5",4.97324339431708,0.658874308077795,"Estimable"
"BB14-1-b","1",5.64694543090629,0.427787181586739,"Estimable"
"BB14-1-b","2",6.13367952787557,0.425378614767913,"Estimable"
"BB14-1-b","3",6.51877587350729,0.428528287058098,"Estimable"
"BB14-1-b","4",7.11636364113637,0.443252149977349,"Estimable"
"BB14-1-b","5",5.1220228904022,0.652970416721986,"Estimable"
"BB14-10b","1",5.09789927636833,0.385320024641761,"Estimable"
"BB14-10b","2",5.58463337333761,0.380644608315188,"Estimable"
"BB14-10b","3",5.96972971896933,0.381672948161072,"Estimable"
"BB14-10b","4",6.56731748659841,0.383728303496336,"Estimable"
"BB14-10b","5",4.57297673586424,0.637325489639729,"Estimable"
"BB14-11p","1",2.11158128063229,0.401527402362788,"Estimable"
"BB14-11p","2",2.59831537760157,0.397498408953633,"Estimable"
"BB14-11p","3",2.98341172323329,0.404920459289673,"Estimable"
"BB14-11p","4",3.58099949086237,0.406760205700083,"Estimable"
"BB14-11p","5",1.58665874012821,0.623261847021107,"Estimable"
"BB14-12b","1",3.12159291057371,0.478032701555793,"Estimable"
"BB14-12b","2",3.60832700754299,0.470085656938677,"Estimable"
"BB14-12b","3",3.99342335317471,0.481639808883597,"Estimable"
"BB14-12b","4",4.59101112080379,0.480505263062953,"Estimable"
"BB14-12b","5",2.59667037006963,0.680628350559656,"Estimable"
"BB14-13p","1",2.07254112378499,0.393544311653172,"Estimable"
"BB14-13p","2",2.55927522075427,0.401295531924208,"Estimable"
"BB14-13p","3",2.94437156638599,0.396144973002709,"Estimable"
"BB14-13p","4",3.54195933401507,0.395707235149365,"Estimable"
"BB14-13p","5",1.5476185832809,0.644980896681404,"Estimable"
"BB14-14b","1",2.83298648631684,0.416161097235726,"Estimable"
"BB14-14b","2",3.31972058328612,0.413785952984838,"Estimable"
"BB14-14b","3",3.70481692891784,0.416936543331077,"Estimable"
"BB14-14b","4",4.30240469654692,0.426273201297933,"Estimable"
"BB14-14b","5",2.30806394581276,0.645307834996782,"Estimable"
"BB14-2-a","1",5.80099683853617,0.395284958829643,"Estimable"
"BB14-2-a","2",6.28773093550545,0.396768085848107,"Estimable"
"BB14-2-a","3",6.67282728113717,0.39572107849082,"Estimable"
"BB14-2-a","4",7.27041504876625,0.397732943045148,"Estimable"
"BB14-2-a","5",5.27607429803209,0.645185779162402,"Estimable"
"BB14-2-b","1",6.00175489013793,0.399640421383915,"Estimable"
"BB14-2-b","2",6.48848898710721,0.392695746334059,"Estimable"
"BB14-2-b","3",6.87358533273893,0.395793172980379,"Estimable"
"BB14-2-b","4",7.47117310036801,0.397833914609188,"Estimable"
"BB14-2-b","5",5.47683234963384,0.645743254007573,"Estimable"
"BB14-3p","1",5.87665617210838,0.377454129612206,"Estimable"
"BB14-3p","2",6.36339026907766,0.376826054699654,"Estimable"
"BB14-3p","3",6.74848661470938,0.377904485681897,"Estimable"
"BB14-3p","4",7.34607438233846,0.382291487365629,"Estimable"
"BB14-3p","5",5.35173363160429,0.634582130219023,"Estimable"
"BB14-4b","1",6.80159483574207,0.387014456083913,"Estimable"
"BB14-4b","2",7.28832893271135,0.384346525631005,"Estimable"
"BB14-4b","3",7.67342527834307,0.385344181955809,"Estimable"
"BB14-4b","4",8.27101304597215,0.391987254817249,"Estimable"
"BB14-4b","5",6.27667229523798,0.639908419624477,"Estimable"
"BB14-5p","1",5.13261024247264,0.404246349494195,"Estimable"
"BB14-5p","2",5.61934433944192,0.40585626343285,"Estimable"
"BB14-5p","3",6.00444068507364,0.406915557036631,"Estimable"
"BB14-5p","4",6.60202845270272,0.408990634818238,"Estimable"
"BB14-5p","5",4.60768770196855,0.651410971187133,"Estimable"
"BB14-6b","1",5.87766147229127,0.407178222825736,"Estimable"
"BB14-6b","2",6.36439556926055,0.406735128213867,"Estimable"
"BB14-6b","3",6.74949191489227,0.416720625231119,"Estimable"
"BB14-6b","4",7.34707968252135,0.419186897143108,"Estimable"
"BB14-6b","5",5.35273893178719,0.655145976906247,"Estimable"
"BB14-7p","1",2.64329670640849,0.399655045265844,"Estimable"
"BB14-7p","2",3.13003080337777,0.396957780096182,"Estimable"
"BB14-7p","3",3.51512714900949,0.402289519438678,"Estimable"
"BB14-7p","4",4.11271491663857,0.406904471674104,"Estimable"
"BB14-7p","5",2.1183741659044,0.648542561589594,"Estimable"
"BB14-8b","1",3.04904704362042,0.47527069580814,"Estimable"
"BB14-8b","2",3.5357811405897,0.480517178935182,"Estimable"
"BB14-8b","3",3.92087748622142,0.473293185515543,"Estimable"
"BB14-8b","4",4.5184652538505,0.480416914762335,"Estimable"
"BB14-8b","5",2.52412450311633,0.680074444260879,"Estimable"
"BB14-9p","1",6.16424199073933,0.408794462131768,"Estimable"
"BB14-9p","2",6.65097608770861,0.403834989959445,"Estimable"
"BB14-9p","3",7.03607243334033,0.40702948673725,"Estimable"
"BB14-9p","4",7.63366020096941,0.406623149472192,"Estimable"
"BB14-9p","5",5.63931945023524,0.651802694881415,"Estimable"
"CT3-08","1",1.08364549566179,0.39691072606713,"Estimable"
"CT3-08","2",1.57037959263107,0.392502069579367,"Estimable"
"CT3-08","3",1.95547593826279,0.397739742481118,"Estimable"
"CT3-08","4",2.55306370589187,0.399720178110994,"Estimable"
"CT3-08","5",0.558722955157704,0.633093105274765,"Estimable"
"Vernal","1",2.52495886368802,0.541425588442838,"Estimable"
"Vernal","2",3.0116929606573,0.555714299905836,"Estimable"
"Vernal","3",3.39678930628902,0.554694073672943,"Estimable"
"Vernal","4",3.9943770739181,0.547189612512318,"Estimable"
"Vernal","5",2.00003632318394,0.396593533514145,"Estimable"
