"Entry","Rep","Site","predicted.value","std.error","status"
"BB Ent 3","1","year22",48.7260355984102,0.0892259077562994,"Estimable"
"BB Ent 3","1","year23",62.4160475591155,0.827061321325361,"Estimable"
"BB Ent 3","2","year22",53.7078069850165,0.0877912266291915,"Estimable"
"BB Ent 3","2","year23",67.8288459344174,0.818495146672126,"Estimable"
"BB Ent 3","3","year22",57.8795979746297,0.0888988105518649,"Estimable"
"BB Ent 3","3","year23",67.5891081105691,0.834913906758596,"Estimable"
"BB Ent 3","4","year22",63.815248324586,0.0907720776228144,"Estimable"
"BB Ent 3","4","year23",74.9842723721508,0.837374088328716,"Estimable"
"BB Ent 3","5","year22",44.3784043287357,0.159237463311705,"Estimable"
"BB Ent 3","5","year23",63.043065426165,1.15318032066544,"Estimable"
"BB Ent 8","1","year22",56.6085589453075,0.0715458431305191,"Estimable"
"BB Ent 8","1","year23",71.217328694178,0.642013821998901,"Estimable"
"BB Ent 8","2","year22",61.5903303319139,0.0718265772191279,"Estimable"
"BB Ent 8","2","year23",76.6301270694799,0.646442642701516,"Estimable"
"BB Ent 8","3","year22",65.7621213215271,0.0716451226292863,"Estimable"
"BB Ent 8","3","year23",76.3903892456316,0.644962690460465,"Estimable"
"BB Ent 8","4","year22",71.6977716714834,0.0721241912776764,"Estimable"
"BB Ent 8","4","year23",83.7855535072133,0.653003487658226,"Estimable"
"BB Ent 8","5","year22",52.2609276756331,0.153048387045444,"Estimable"
"BB Ent 8","5","year23",71.8443465612275,1.05428520777169,"Estimable"
"BB14-1-a","1","year22",54.6753606847915,0.0799719737831438,"Estimable"
"BB14-1-a","1","year23",60.6449641389515,0.624082528721994,"Estimable"
"BB14-1-a","2","year22",59.6571320713978,0.0797951291857737,"Estimable"
"BB14-1-a","2","year23",66.0577625142534,0.633607790907769,"Estimable"
"BB14-1-a","3","year22",63.828923061011,0.0795440439011226,"Estimable"
"BB14-1-a","3","year23",65.8180246904051,0.62309712971815,"Estimable"
"BB14-1-a","4","year22",69.7645734109673,0.081489272187438,"Estimable"
"BB14-1-a","4","year23",73.2131889519868,0.635520887461498,"Estimable"
"BB14-1-a","5","year22",50.327729415117,0.15859306564795,"Estimable"
"BB14-1-a","5","year23",61.271982006001,1.01994207295208,"Estimable"
"BB14-1-b","1","year22",56.5483439623804,0.0848973951929247,"Estimable"
"BB14-1-b","1","year23",66.6266365511512,0.706383760340432,"Estimable"
"BB14-1-b","2","year22",61.5301153489868,0.0843413639321519,"Estimable"
"BB14-1-b","2","year23",72.0394349264531,0.70192439762968,"Estimable"
"BB14-1-b","3","year22",65.7019063386,0.0849857768888587,"Estimable"
"BB14-1-b","3","year23",71.7996971026047,0.709148811485485,"Estimable"
"BB14-1-b","4","year22",71.6375566885563,0.0878490183517311,"Estimable"
"BB14-1-b","4","year23",79.1948613641863,0.726745680999863,"Estimable"
"BB14-1-b","5","year22",52.200712692706,0.159555853836006,"Estimable"
"BB14-1-b","5","year23",67.2536544182006,1.09368620761263,"Estimable"
"BB14-10b","1","year22",50.7895619490756,0.0688626377033653,"Estimable"
"BB14-10b","1","year23",63.6067359150162,0.666071587630364,"Estimable"
"BB14-10b","2","year22",55.771333335682,0.0677786348012324,"Estimable"
