Entry,Plot,Row,Col,Parent,Cross,sample_id,geno_id,trt_class,Rep,spread_22,spread_23,geno_id_Meng
BB14-8b,114,7,15,13-Mar,blue,na,BB14-8b,check,na,.,.,Entry3
BB14-8b,114,7,16,13-Mar,blue,na,BB14-8b,check,na,.,.,Entry3
BB14-8b,114,7,19,13-Mar,blue,na,BB14-8b,check,na,.,0,Entry3
BB14-8b,114,7,20,13-Mar,blue,na,BB14-8b,check,na,6,8,Entry3
BB14-8b,201,1,30,13-Mar,blue,na,BB14-8b,check,na,.,.,Entry3
BB14-8b,201,1,21,13-Mar,blue,na,BB14-8b,check,na,.,.,Entry3
BB14-8b,201,1,23,13-Mar,blue,na,BB14-8b,check,na,.,.,Entry3
BB14-8b,201,1,24,13-Mar,blue,na,BB14-8b,check,na,.,.,Entry3
BB14-8b,201,1,25,13-Mar,blue,na,BB14-8b,check,na,.,.,Entry3
BB14-8b,201,1,26,13-Mar,blue,na,BB14-8b,check,na,.,.,Entry3
BB14-7p,306,16,6,CT3-08,blue,na,BB14-7p,check,na,.,4,CT3-08
BB14-7p,306,16,9,CT3-08,blue,na,BB14-7p,check,na,.,.,CT3-08
BB14-8b,317,14,12,13-Mar,blue,na,BB14-8b,check,na,.,.,Entry3
BB14-8b,317,14,15,13-Mar,blue,na,BB14-8b,check,na,.,.,Entry3
BB14-7p,415,16,32,CT3-08,blue,na,BB14-7p,check,na,.,.,CT3-08
BB14-7p,415,16,33,CT3-08,blue,na,BB14-7p,check,na,.,.,CT3-08
BB14-7p,415,16,38,CT3-08,blue,na,BB14-7p,check,na,.,.,CT3-08
BB14-8b,417,14,35,13-Mar,blue,na,BB14-8b,check,na,.,.,Entry3
BB14-8b,417,14,39,13-Mar,blue,na,BB14-8b,check,na,.,.,Entry3
BB14-8b,417,14,40,13-Mar,blue,na,BB14-8b,check,na,.,.,Entry3
BB14-1-a,105,5,10,3-13a,green,na,BB14-1-a,check,na,.,.,Entry3
BB14-1-b,106,6,9,3-13b,green,na,BB14-1-b,check,na,3,2,Entry3
BB14-2-a,107,7,8,15-7a,green,na,BB14-2-a,check,na,.,.,Entry8
BB14-2-b,108,8,7,15-7b,green,na,BB14-2-b,check,na,.,5,Entry8
BB14-1-b,203,3,27,3-13b,green,na,BB14-1-b,check,na,.,.,Entry3
BB14-1-a,216,5,34,3-13a,green,na,BB14-1-a,check,na,.,.,Entry3
BB14-1-a,216,5,37,3-13a,green,na,BB14-1-a,check,na,.,.,Entry3
BB14-2-a,219,2,31,15-7a,green,na,BB14-2-a,check,na,.,.,Entry8
BB14-2-a,219,2,36,15-7a,green,na,BB14-2-a,check,na,.,.,Entry8
BB14-2-a,307,17,2,15-7a,green,na,BB14-2-a,check,na,.,.,Entry8
BB14-2-b,314,17,18,15-7b,green,na,BB14-2-b,check,na,.,.,Entry8
BB14-1-a,401,11,26,3-13a,green,na,BB14-1-a,check,na,.,.,Entry3
BB14-1-a,401,11,28,3-13a,green,na,BB14-1-a,check,na,.,.,Entry3
BB14-2-a,402,12,26,15-7a,green,na,BB14-2-a,check,na,.,.,Entry8
BB14-2-b,405,15,26,15-7b,green,na,BB14-2-b,check,na,.,1,Entry8
BB14-1-b,414,17,32,3-13b,green,na,BB14-1-b,check,na,.,.,Entry3
BB14-1-b,414,17,33,3-13b,green,na,BB14-1-b,check,na,.,.,Entry3
BB14-1-b,414,17,37,3-13b,green,na,BB14-1-b,check,na,.,.,Entry3
BB14-1-b,414,17,39,3-13b,green,na,BB14-1-b,check,na,.,6,Entry3
CT3-08,101,1,3,na,na,na,CT3-08,check,na,.,0,CT3-08
CT3-08,101,1,10,na,na,na,CT3-08,check,na,.,.,CT3-08
Vernal,102,2,1,na,na,na,Vernal,check,na,0,3,Vernal
Vernal,102,2,2,na,na,na,Vernal,check,na,0,4,Vernal
Vernal,102,2,3,na,na,na,Vernal,check,na,0,4,Vernal
Vernal,102,2,5,na,na,na,Vernal,check,na,.,.,Vernal
Vernal,102,2,6,na,na,na,Vernal,check,na,.,.,Vernal
BB Ent 3,103,3,3,BB Ent 3 (3-13),na,na,BB Ent 3,check,na,.,.,Entry3
BB Ent 3,103,3,5,BB Ent 3 (3-13),na,na,BB Ent 3,check,na,.,.,Entry3
BB Ent 3,103,3,6,BB Ent 3 (3-13),na,na,BB Ent 3,check,na,.,.,Entry3
BB Ent 3,103,3,7,BB Ent 3 (3-13),na,na,BB Ent 3,check,na,4,5,Entry3
BB Ent 8,104,4,6,BB Ent 8 (15-7),na,na,BB Ent 8,check,na,.,.,Entry8
BB Ent 8,202,2,23,BB Ent 8 (15-7),na,na,BB Ent 8,check,na,0,5,Entry8
BB Ent 8,202,2,28,BB Ent 8 (15-7),na,na,BB Ent 8,check,na,.,.,Entry8
BB Ent 3,205,5,27,BB Ent 3 (3-13),na,na,BB Ent 3,check,na,.,.,Entry3
Vernal,208,8,21,na,na,na,Vernal,check,na,1,3,Vernal
Vernal,208,8,22,na,na,na,Vernal,check,na,3,3,Vernal
Vernal,208,8,23,na,na,na,Vernal,check,na,0,3,Vernal
Vernal,208,8,24,na,na,na,Vernal,check,na,3,2,Vernal
Vernal,208,8,25,na,na,na,Vernal,check,na,3,1,Vernal
